,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,10,AU,1600832581,44,-33.65,115.33,71.01,3.58
1,Opuwo,3,NA,1600832583,38,-18.06,13.84,59.7,1.03
2,Vardø,20,NO,1600832584,76,70.37,31.11,37.4,8.05
3,Shelabolikha,100,RU,1600832585,70,53.41,82.62,46.4,13.42
4,Mar del Plata,100,AR,1600832586,76,-38.0,-57.56,54.0,9.17
5,Touros,20,BR,1600832588,94,-5.2,-35.46,71.6,3.36
6,Tres Arroyos,96,AR,1600832589,74,-38.37,-60.28,52.88,8.5
7,Hobart,40,AU,1600832363,76,-42.88,147.33,55.4,14.99
8,Skibotn,75,NO,1600832591,76,69.39,20.27,42.8,23.04
9,Punta Arenas,75,CL,1600832592,81,-53.15,-70.92,42.8,20.8
10,Aksarka,100,RU,1600832594,84,66.56,67.8,38.01,12.17
11,Hermanus,33,ZA,1600832595,93,-34.42,19.23,51.01,1.99
12,São Luiz Gonzaga,0,BR,1600832399,89,-28.41,-54.96,54.14,9.28
13,San Cristobal,72,VE,1600832597,82,7.77,-72.22,66.27,1.72
14,Vienna,98,AT,1600832553,82,48.21,16.37,57.99,5.82
15,Ushuaia,75,AR,1600832599,75,-54.8,-68.3,41.0,5.82
16,Yellowknife,40,CA,1600832601,93,62.46,-114.35,48.0,6.93
17,Natal,20,BR,1600832602,88,-5.79,-35.21,73.4,6.93
18,Fort Nelson,75,CA,1600832604,66,58.81,-122.7,50.0,2.53
19,Lüderitz,0,NA,1600832606,53,-26.65,15.16,59.79,8.93
20,Boguchany,96,RU,1600832607,65,58.38,97.45,50.22,5.64
21,Hithadhoo,88,MV,1600832608,66,-0.6,73.08,82.22,5.32
22,Rikitea,100,PF,1600832609,76,-23.12,-134.97,72.77,18.61
23,Along,100,IN,1600832610,90,28.17,94.77,73.51,0.63
24,Chui,91,UY,1600832612,86,-33.7,-53.46,48.25,8.08
25,Coahuayana Viejo,100,MX,1600832614,84,18.73,-103.68,79.47,1.95
26,Qui Nhon,14,VN,1600832615,64,13.77,109.23,87.04,6.85
